Year,Topics,Topic Name,Paper,Question No.,GHS % score,1A Answer
2021,2,Microscopic World I,1A,1,81%,C
2021,2,Microscopic World I,1A,2,40%,C
2021,2,Microscopic World I,1A,3,77%,A
2021,3,Metals,1A,4,81%,A
2021,3,Metals,1A,5,80%,D
2021,3,Metals,1A,6,59%,D
2021,3,Metals,1A,7,83%,B
2021,4,Acids and Bases,1A,8,64%,A
2021,4,Acids and Bases,1A,9,69%,B
2021,4,Acids and Bases,1A,10,80%,C
2021,4,Acids and Bases,1A,11,76%,B
2021,7,Electrochemistry,1A,12,77%,B
2021,7,"Redox Reactions, Chemical Cells and Electrolysis",1A,13,64%,A
2021,7,"Redox Reactions, Chemical Cells and Electrolysis",1A,14,73%,B
2021,5,Fossil Fuels and Carbon Compounds,1A,15,50%,A
2021,5,Fossil Fuels and Carbon Compounds,1A,16,63%,D
2021,1,Planet Earth,1A,17,20%,C
2021,6,Microscopic World II,1A,18,84%,C
2021,6,Microscopic World II,1A,19,64%,C
2021,6,Microscopic World II,1A,20,57%,D
2021,6,Microscopic World II,1A,21,63%,C
2021,8,Chemical Reactions and Energy,1A,22,73%,C
2021,8,Chemical Reactions and Energy,1A,23,76%,A
2021,8,Chemical Reactions and Energy,1A,24,17%,D
2021,12,Patterns in the Chemical World,1A,25,74%,D
2021,11,Chemistry of Carbon Compounds,1A,26,37%,C
2021,11,Chemistry of Carbon Compounds,1A,27,69%,C
2021,11,Chemistry of Carbon Compounds,1A,28,67%,C
2021,11,Chemistry of Carbon Compounds,1A,29,51%,D
2021,11,Chemistry of Carbon Compounds,1A,30,63%,D
2021,11,Chemistry of Carbon Compounds,1A,31,86%,B
2021,11,Chemistry of Carbon Compounds,1A,32,54%,C
2021,10,Chemical Equilibrium,1A,33,76%,D
2021,9,Rate of Reaction,1A,34,66%,A
2021,10,Chemical Equilibrium,1A,35,66%,D
2021,9,Rate of Reaction,1A,36,70%,C
2022,2,Microscopic World I,1A,1,92%,B
2022,2,Microscopic World I,1A,2,88%,D
2022,1,Planet Earth,1A,3,64%,D
2022,2,Microscopic World I,1A,4,80%,D
2022,2,Microscopic World I,1A,5,76%,A
2022,4,Acids and Bases,1A,6,36%,D
2022,7,"Redox Reactions, Chemical Cells and Electrolysis",1A,7,68%,D
2022,4,Acids and Bases,1A,8,72%,A
2022,4,Acids and Bases,1A,9,96%,A
2022,4,Acids and Bases,1A,10,72%,B
2022,7,"Redox Reactions, Chemical Cells and Electrolysis",1A,11,88%,B
2022,7,"Redox Reactions, Chemical Cells and Electrolysis",1A,12,72%,C
2022,8,Chemical Reactions and Energy,1A,13,76%,A
2022,8,Chemical Reactions and Energy,1A,14,72%,A
2022,8,Chemical Reactions and Energy,1A,15,60%,B
2022,8,Chemical Reactions and Energy,1A,16,96%,D
2022,8,Chemical Reactions and Energy,1A,17,80%,C
2022,3,Metals,1A,18,92%,A
